ts tNN delta
0.80 -0.90 3.36070e-02
0.80 -0.95 3.75822e-02
0.80 -1.00 4.27525e-02
0.80 -1.05 4.86843e-02
0.80 -1.10 6.54730e-02
0.80 -1.15 6.62485e-02
0.80 -1.20 6.72880e-02
0.80 -1.25 7.22910e-02
0.80 -1.30 6.05940e-02
0.80 -1.35 5.95658e-02
0.80 -1.40 6.83887e-02
0.80 -1.45 6.72053e-02
0.80 -1.50 5.91217e-02
0.80 -1.55 5.49032e-02
0.80 -1.60 6.20054e-02
0.80 -1.65 5.41769e-02
0.80 -1.70 5.27644e-02
0.80 -1.75 5.78951e-02
0.80 -1.80 5.72590e-02
0.80 -1.85 5.40288e-02
0.82 -0.90 0.00000e+00
0.82 -0.95 0.00000e+00
0.82 -1.00 4.76069e-04
0.82 -1.05 3.55695e-04
0.82 -1.10 4.17808e-02
0.82 -1.15 5.09825e-02
0.82 -1.20 4.92493e-02
0.82 -1.25 6.05442e-02
0.82 -1.30 5.57048e-02
0.82 -1.35 4.56889e-02
0.82 -1.40 5.85601e-02
0.82 -1.45 6.14210e-02
0.82 -1.50 5.55493e-02
0.82 -1.55 4.93781e-02
0.82 -1.60 5.47364e-02
0.82 -1.65 5.56655e-02
0.82 -1.70 4.95749e-02
0.82 -1.75 5.54613e-02
0.82 -1.80 5.55010e-02
0.82 -1.85 5.50668e-02
0.84 -0.90 3.33133e-06
0.84 -0.95 3.06126e-06
0.84 -1.00 3.58744e-04
0.84 -1.05 0.00000e+00
0.84 -1.10 0.00000e+00
0.84 -1.15 2.42478e-02
0.84 -1.20 2.62462e-02
0.84 -1.25 3.40724e-02
0.84 -1.30 3.52410e-02
0.84 -1.35 3.10610e-02
0.84 -1.40 3.18168e-02
0.84 -1.45 4.39749e-02
0.84 -1.50 2.98046e-02
0.84 -1.55 3.67945e-02
0.84 -1.60 3.59137e-02
0.84 -1.65 3.75993e-02
0.84 -1.70 3.72859e-02
0.84 -1.75 4.21663e-02
0.84 -1.80 4.68237e-02
0.84 -1.85 4.95150e-02
0.86 -0.90 6.54551e-03
0.86 -0.95 9.34449e-03
0.86 -1.00 0.00000e+00
0.86 -1.05 0.00000e+00
0.86 -1.10 0.00000e+00
0.86 -1.15 7.16498e-03
0.86 -1.20 1.43384e-02
0.86 -1.25 6.92582e-03
0.86 -1.30 9.93927e-03
0.86 -1.35 1.88796e-02
0.86 -1.40 7.67689e-03
0.86 -1.45 2.02099e-02
0.86 -1.50 8.73452e-03
0.86 -1.55 7.01561e-03
0.86 -1.60 2.06167e-02
0.86 -1.65 2.08559e-02
0.86 -1.70 5.21736e-03
0.86 -1.75 1.29744e-02
0.86 -1.80 2.57512e-02
0.86 -1.85 1.57412e-02
0.88 -0.90 5.96217e-03
0.88 -0.95 0.00000e+00
0.88 -1.00 0.00000e+00
0.88 -1.05 0.00000e+00
0.88 -1.10 9.92005e-03
0.88 -1.15 1.14735e-02
0.88 -1.20 7.26787e-03
0.88 -1.25 1.28595e-02
0.88 -1.30 7.64614e-03
0.88 -1.35 1.16597e-02
0.88 -1.40 6.94133e-03
0.88 -1.45 8.17042e-03
0.88 -1.50 2.45376e-06
0.88 -1.55 4.03114e-03
0.88 -1.60 6.52627e-03
0.88 -1.65 9.40031e-03
0.88 -1.70 0.00000e+00
0.88 -1.75 6.71902e-03
0.88 -1.80 8.36336e-03
0.88 -1.85 7.99323e-03
0.90 -0.90 6.40255e-03
0.90 -0.95 8.94273e-03
0.90 -1.00 1.03277e-02
0.90 -1.05 1.61982e-05
0.90 -1.10 0.00000e+00
0.90 -1.15 6.50108e-03
0.90 -1.20 6.68287e-03
0.90 -1.25 6.78801e-03
0.90 -1.30 9.17370e-03
0.90 -1.35 6.85459e-03
0.90 -1.40 7.30748e-03
0.90 -1.45 6.20819e-03
0.90 -1.50 0.00000e+00
0.90 -1.55 6.30230e-03
0.90 -1.60 3.03295e-03
0.90 -1.65 0.00000e+00
0.90 -1.70 0.00000e+00
0.90 -1.75 0.00000e+00
0.90 -1.80 0.00000e+00
0.90 -1.85 2.31071e-05
0.92 -0.90 0.00000e+00
0.92 -0.95 6.23128e-03
0.92 -1.00 7.59367e-03
0.92 -1.05 4.01155e-03
0.92 -1.10 1.01040e-02
0.92 -1.15 7.06679e-03
0.92 -1.20 6.77637e-03
0.92 -1.25 5.96782e-03
0.92 -1.30 9.34574e-03
0.92 -1.35 6.84515e-03
0.92 -1.40 6.15976e-03
0.92 -1.45 5.20334e-03
0.92 -1.50 7.68657e-03
0.92 -1.55 4.97447e-03
0.92 -1.60 0.00000e+00
0.92 -1.65 6.31267e-03
0.92 -1.70 8.73681e-03
